Attrition,BusinessTravel,DailyRate,DistanceFromHome,Education,EducationField,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age_cut,FarFromHome,LowMonthlyIncome,LowWorkingYears,TotalSatisfaction
No,Travel_Rarely,804,9,Bachelor,Life Sciences,Male,64,High,1,Laboratory Technician,Married,20165,4,No,18,Excellent,0,5,Better,1,0,0,0,3,0,1,0,4
No,Travel_Rarely,715,2,Bachelor,Life Sciences,Female,69,Medium,4,Manufacturing Director,Single,21829,3,Yes,13,Excellent,0,4,Better,5,3,4,3,4,0,0,0,5
Yes,Travel_Rarely,1141,11,College,Medical,Female,61,Low,2,Healthcare Representative,Married,14382,5,No,15,Excellent,0,2,Bad,1,0,0,0,2,0,0,0,1
No,Travel_Frequently,135,18,Master,Medical,Male,62,High,2,Healthcare Representative,Married,12992,3,Yes,14,Excellent,2,3,Better,8,7,6,7,4,0,0,0,6
No,Travel_Rarely,1035,3,Master,Life Sciences,Male,42,High,2,Sales Executive,Single,4981,8,Yes,12,Excellent,0,1,Better,1,0,0,0,2,0,0,0,6
Yes,Non-Travel,265,29,College,Medical,Male,79,Low,2,Sales Executive,Single,21813,8,No,18,Excellent,0,6,Better,2,2,2,2,0,1,0,0,4
No,Travel_Rarely,1448,28,Bachelor,Medical,Female,53,Very High,4,Sales Executive,Married,11737,3,Yes,18,Excellent,1,2,Better,12,11,11,11,3,1,0,0,8
No,Non-Travel,145,1,Bachelor,Life Sciences,Female,95,High,2,Sales Executive,Married,24920,1,No,12,Excellent,1,3,Better,18,7,0,13,3,0,0,0,5
Yes,Travel_Rarely,885,16,Master,Life Sciences,Female,43,Very High,1,Laboratory Technician,Single,8269,1,No,16,Excellent,0,1,Better,17,13,15,14,2,0,1,0,4
No,Non-Travel,1038,8,Below College,Life Sciences,Female,88,Medium,1,Sales Representative,Single,21437,1,No,19,Excellent,0,2,Good,2,2,2,2,1,0,1,0,7
No,Travel_Rarely,1234,11,College,Life Sciences,Female,90,High,4,Manager,Married,5404,3,No,13,Excellent,1,4,Best,9,3,1,1,3,0,0,0,7
No,Non-Travel,1109,29,Master,Medical,Female,69,High,1,Laboratory Technician,Single,11135,9,No,12,Excellent,0,2,Better,8,7,7,7,1,1,0,0,6
No,Travel_Rarely,216,1,Master,Marketing,Male,75,Very High,2,Sales Executive,Divorced,12278,1,No,11,Excellent,1,2,Good,15,1,0,9,1,0,0,0,7
No,Travel_Rarely,1089,1,College,Technical Degree,Male,66,High,3,Manager,Married,11038,3,Yes,14,Excellent,1,1,Bad,6,4,0,4,4,0,0,0,6
No,Travel_Rarely,788,24,Master,Medical,Male,36,High,1,Human Resources,Single,8318,1,No,16,Excellent,0,3,Better,6,3,0,4,3,1,1,0,2
No,Travel_Frequently,124,2,Bachelor,Marketing,Female,38,Medium,3,Sales Executive,Married,23537,2,No,12,Excellent,1,2,Better,15,7,6,12,4,0,0,0,3
Yes,Travel_Rarely,660,15,Bachelor,Other,Male,81,High,2,Laboratory Technician,Divorced,7858,7,No,14,Excellent,1,3,Good,1,0,0,0,2,0,0,0,3
Yes,Travel_Frequently,342,2,Bachelor,Life Sciences,Male,57,High,1,Research Scientist,Married,15346,6,Yes,14,Excellent,1,2,Better,3,2,1,2,0,0,1,0,1
No,Travel_Rarely,1333,10,Master,Life Sciences,Female,87,High,1,Sales Representative,Married,18410,1,Yes,19,Excellent,1,2,Better,1,1,0,0,1,0,1,1,7
No,Travel_Rarely,1144,10,Below College,Medical,Male,74,High,1,Sales Representative,Married,23384,1,No,22,Outstanding,0,5,Better,1,0,0,0,1,0,1,1,5
No,Travel_Frequently,1186,3,Master,Other,Male,44,High,1,Research Scientist,Married,2997,3,No,16,Excellent,1,2,Better,2,2,2,2,2,0,1,0,4
No,Travel_Rarely,1464,2,Master,Medical,Male,62,High,5,Research Director,Married,12853,2,Yes,11,Excellent,1,2,Good,8,1,7,7,3,0,0,0,6
No,Travel_Rarely,124,3,Bachelor,Other,Female,35,High,2,Healthcare Representative,Single,13848,3,No,15,Excellent,0,3,Good,4,3,0,1,2,0,0,0,4
No,Travel_Rarely,300,26,Bachelor,Marketing,Male,74,High,2,Sales Executive,Married,22217,1,No,14,Excellent,1,3,Good,7,7,7,5,2,1,0,0,3
No,Travel_Frequently,921,1,Below College,Medical,Female,66,Medium,1,Research Scientist,Divorced,25265,1,No,13,Excellent,2,5,Better,5,3,1,3,0,0,1,0,4
No,Travel_Rarely,430,1,Master,Medical,Male,40,High,5,Research Director,Divorced,21445,9,No,17,Excellent,2,0,Better,2,2,2,2,3,0,0,0,9
No,Travel_Rarely,1082,2,Master,Life Sciences,Female,41,Medium,3,Sales Executive,Married,8392,6,No,11,Excellent,1,4,Better,9,4,7,0,4,0,0,0,5
No,Travel_Frequently,1240,9,Bachelor,Medical,Female,63,High,1,Research Scientist,Married,12154,2,No,19,Excellent,1,4,Better,5,4,0,3,4,0,1,0,3
No,Travel_Rarely,796,12,Doctor,Medical,Female,51,Medium,3,Manufacturing Director,Single,15669,1,No,11,Excellent,0,2,Good,14,8,7,8,2,0,0,0,7
No,Non-Travel,444,2,Below College,Medical,Male,40,Medium,4,Manager,Single,17323,7,No,15,Excellent,0,3,Best,9,7,6,2,4,0,0,0,3
No,Travel_Rarely,415,25,Bachelor,Medical,Male,79,Medium,3,Sales Executive,Divorced,5268,5,No,13,Excellent,1,5,Better,1,0,0,0,2,1,0,0,7
Yes,Travel_Frequently,769,9,Bachelor,Marketing,Female,54,High,1,Sales Representative,Single,17205,1,Yes,14,Excellent,0,3,Better,2,2,0,2,0,0,1,1,7
Yes,Travel_Rarely,1334,10,Bachelor,Life Sciences,Female,36,Medium,1,Laboratory Technician,Single,17258,1,No,13,Excellent,0,6,Good,1,0,1,0,0,0,1,1,2
No,Travel_Rarely,1003,8,Master,Life Sciences,Female,74,Medium,2,Research Scientist,Divorced,21029,8,Yes,23,Outstanding,3,2,Better,16,13,1,7,3,0,0,0,3
Yes,Travel_Rarely,1323,4,Master,Life Sciences,Male,34,High,1,Research Scientist,Married,10332,9,Yes,12,Excellent,3,2,Best,10,0,2,7,3,0,1,0,4
Yes,Non-Travel,1366,24,College,Technical Degree,Male,72,Medium,3,Healthcare Representative,Single,12355,1,No,12,Excellent,0,2,Good,10,7,1,9,1,1,0,0,1
No,Travel_Rarely,192,1,College,Medical,Male,59,Medium,1,Laboratory Technician,Married,11141,1,No,16,Excellent,2,2,Better,5,3,1,3,0,0,0,0,0
No,Travel_Rarely,1176,20,Bachelor,Other,Male,85,High,2,Manufacturing Director,Married,9096,1,No,15,Excellent,1,1,Good,6,2,0,2,1,0,0,0,4
No,Travel_Rarely,509,7,College,Technical Degree,Female,43,Very High,1,Research Scientist,Married,18863,1,No,13,Excellent,0,3,Better,10,6,0,8,2,0,0,0,5
No,Travel_Rarely,1492,20,Master,Technical Degree,Male,61,High,3,Healthcare Representative,Married,26542,4,No,20,Outstanding,1,6,Better,11,10,11,1,2,0,0,0,6
No,Non-Travel,1277,8,Doctor,Life Sciences,Male,87,Low,1,Laboratory Technician,Married,5869,1,No,19,Excellent,3,4,Better,3,2,1,2,1,0,0,0,5
No,Travel_Frequently,1091,2,Below College,Life Sciences,Male,65,High,3,Manufacturing Director,Married,15813,3,No,18,Excellent,1,4,Better,3,2,1,2,4,0,0,0,5
No,Travel_Rarely,857,10,Bachelor,Other,Female,59,High,2,Research Scientist,Single,7909,3,No,13,Excellent,0,4,Best,8,7,1,7,1,0,0,0,7
No,Travel_Rarely,654,5,Bachelor,Life Sciences,Male,34,Medium,3,Healthcare Representative,Divorced,21214,4,No,15,Excellent,1,2,Better,3,2,1,2,1,0,0,0,8
Yes,Travel_Rarely,1204,4,Bachelor,Technical Degree,Male,86,High,3,Sales Executive,Single,10333,1,Yes,22,Outstanding,0,2,Better,8,7,4,7,2,0,0,0,3
Yes,Travel_Frequently,827,29,Master,Medical,Female,54,Medium,2,Research Scientist,Single,3129,1,No,22,Outstanding,0,4,Better,13,7,3,8,1,1,0,0,3
No,Travel_Rarely,895,15,College,Life Sciences,Male,50,High,1,Laboratory Technician,Divorced,22482,1,No,16,Excellent,1,5,Good,4,2,2,2,1,0,1,0,5
No,Travel_Frequently,618,3,Below College,Life Sciences,Male,45,High,2,Healthcare Representative,Single,22266,1,No,17,Excellent,0,1,Good,6,2,0,4,1,0,0,0,5
No,Travel_Rarely,309,10,Master,Life Sciences,Female,88,Medium,2,Sales Executive,Divorced,24223,2,Yes,14,Excellent,3,5,Better,1,0,0,0,2,0,0,0,8
Yes,Travel_Rarely,1219,4,Below College,Technical Degree,Male,32,High,1,Laboratory Technician,Married,4605,1,Yes,15,Excellent,1,3,Best,7,7,5,6,0,0,0,0,7
Yes,Travel_Rarely,1330,21,Bachelor,Medical,Male,37,High,1,Laboratory Technician,Divorced,19373,1,No,20,Outstanding,1,0,Good,1,1,0,0,0,0,1,1,4
Yes,Travel_Rarely,1017,25,Bachelor,Medical,Male,55,Medium,1,Research Scientist,Single,2993,4,Yes,20,Outstanding,0,0,Better,2,2,2,2,1,1,1,0,2
Yes,Travel_Frequently,1009,1,Bachelor,Medical,Male,45,Medium,1,Laboratory Technician,Divorced,7160,1,No,15,Excellent,2,2,Better,1,0,0,0,1,0,1,1,1
Yes,Travel_Frequently,959,1,Master,Other,Male,81,High,2,Sales Executive,Single,17251,3,Yes,14,Excellent,0,4,Better,0,0,0,0,3,0,0,0,8
No,Travel_Frequently,970,7,Bachelor,Life Sciences,Female,30,High,2,Sales Executive,Married,13401,1,No,17,Excellent,1,3,Better,3,2,0,2,1,0,0,0,6
No,Non-Travel,697,3,Master,Life Sciences,Male,40,Medium,1,Research Scientist,Married,22478,3,No,17,Excellent,3,2,Better,0,0,0,0,1,0,1,0,8
No,Non-Travel,1262,1,Master,Medical,Male,35,Very High,4,Manager,Single,16154,2,No,22,Outstanding,0,3,Good,5,4,2,1,3,0,0,0,5
No,Non-Travel,1050,9,Master,Life Sciences,Female,65,Medium,2,Sales Executive,Married,17970,1,No,13,Excellent,1,2,Better,15,10,4,12,3,0,0,0,6
No,Travel_Rarely,994,7,Master,Life Sciences,Male,87,High,3,Healthcare Representative,Single,15322,7,No,19,Excellent,0,4,Better,8,6,4,0,4,0,0,0,5
No,Travel_Rarely,770,10,Master,Marketing,Male,73,Medium,3,Sales Executive,Divorced,5569,1,Yes,14,Excellent,2,2,Better,8,7,2,7,2,0,0,0,5
No,Travel_Rarely,1107,28,Master,Life Sciences,Female,93,High,1,Research Scientist,Divorced,26968,4,No,22,Outstanding,1,1,Better,7,5,1,7,1,1,1,0,5
No,Travel_Rarely,950,3,Bachelor,Medical,Female,93,High,3,Manufacturing Director,Divorced,8039,1,No,17,Excellent,3,3,Good,9,7,1,7,1,0,0,0,5
No,Travel_Rarely,406,3,Below College,Marketing,Male,52,High,4,Manager,Married,15596,3,No,12,Excellent,1,3,Better,12,9,4,9,3,0,0,0,5
No,Travel_Rarely,130,2,College,Marketing,Male,32,High,3,Sales Executive,Single,20619,7,No,16,Excellent,0,2,Better,1,0,0,0,2,0,0,0,6
No,Travel_Frequently,1082,27,Bachelor,Life Sciences,Female,83,High,3,Manufacturing Director,Married,11535,8,No,11,Excellent,1,1,Better,8,7,0,1,2,1,0,0,4
Yes,Travel_Frequently,203,2,Bachelor,Life Sciences,Male,84,High,4,Healthcare Representative,Divorced,13547,7,No,11,Excellent,3,4,Better,18,7,11,5,2,0,0,0,6
No,Travel_Rarely,984,1,Below College,Technical Degree,Female,70,Medium,1,Research Scientist,Single,25326,1,Yes,11,Excellent,0,6,Best,2,2,2,2,0,0,1,1,6
No,Non-Travel,439,9,Bachelor,Life Sciences,Male,70,High,2,Laboratory Technician,Single,8770,9,No,15,Excellent,0,2,Good,5,4,0,3,2,0,0,0,5
No,Non-Travel,217,18,Master,Life Sciences,Male,78,High,2,Manufacturing Director,Single,23238,2,No,20,Outstanding,0,0,Better,11,9,0,9,2,0,0,0,3
No,Travel_Frequently,793,20,Bachelor,Life Sciences,Male,67,Very High,1,Sales Representative,Married,21981,1,No,12,Excellent,1,4,Better,2,2,2,2,1,0,1,0,5
No,Travel_Rarely,1451,2,Below College,Life Sciences,Male,67,Medium,1,Research Scientist,Married,19911,1,No,17,Excellent,0,2,Bad,5,3,0,4,1,0,1,0,1
No,Travel_Frequently,1182,11,College,Marketing,Male,54,High,2,Sales Executive,Divorced,18500,1,No,11,Excellent,1,3,Better,5,2,0,2,2,0,0,0,9
No,Travel_Rarely,174,8,Master,Technical Degree,Male,56,Medium,4,Sales Executive,Married,11879,6,No,17,Excellent,1,3,Better,9,8,2,3,3,0,0,0,5
No,Travel_Frequently,1003,2,College,Life Sciences,Male,95,High,2,Manufacturing Director,Single,15834,2,No,11,Excellent,0,3,Good,3,2,0,2,1,0,0,0,8
No,Travel_Frequently,490,10,Bachelor,Life Sciences,Female,61,High,1,Research Scientist,Divorced,17940,1,No,14,Excellent,2,2,Good,7,5,1,1,1,0,0,0,7
No,Travel_Rarely,188,29,Bachelor,Medical,Male,56,Low,2,Laboratory Technician,Single,9558,4,No,19,Excellent,0,3,Better,1,0,0,0,2,1,0,0,4
No,Travel_Rarely,718,8,Below College,Medical,Male,79,Medium,2,Manufacturing Director,Married,17689,1,Yes,15,Excellent,1,2,Good,10,7,1,2,1,0,0,0,6
No,Travel_Rarely,433,1,Bachelor,Human Resources,Male,37,Very High,1,Human Resources,Married,6004,1,No,13,Excellent,1,2,Best,7,6,5,0,2,0,1,0,7
No,Travel_Frequently,773,6,Bachelor,Life Sciences,Male,39,Medium,1,Research Scientist,Divorced,22088,1,Yes,14,Excellent,1,2,Better,3,1,0,2,1,0,1,0,7
Yes,Non-Travel,247,8,Below College,Medical,Male,80,High,1,Laboratory Technician,Single,13556,1,No,12,Excellent,0,0,Better,0,0,0,0,0,0,1,1,7
Yes,Travel_Rarely,603,9,Master,Marketing,Female,77,High,2,Sales Executive,Single,18385,1,Yes,17,Excellent,0,3,Better,5,2,0,3,1,0,0,0,0
No,Travel_Rarely,167,12,Master,Life Sciences,Male,46,High,1,Laboratory Technician,Married,9051,3,Yes,11,Excellent,1,4,Better,1,0,0,0,2,0,0,0,4
Yes,Travel_Frequently,874,15,Bachelor,Medical,Male,72,High,1,Laboratory Technician,Married,6233,1,No,12,Excellent,1,5,Good,2,2,2,2,1,0,1,1,6
No,Travel_Rarely,367,25,College,Medical,Female,52,Medium,2,Healthcare Representative,Divorced,17171,7,No,13,Excellent,2,2,Better,6,2,1,3,2,1,0,0,7
No,Travel_Rarely,199,6,Bachelor,Life Sciences,Male,55,Medium,1,Research Scientist,Married,7950,1,No,13,Excellent,1,0,Better,4,2,2,2,1,0,1,0,7
No,Travel_Rarely,1400,9,Below College,Life Sciences,Female,70,High,2,Sales Executive,Married,5829,1,No,20,Outstanding,0,3,Good,6,5,1,3,1,0,0,0,3
No,Travel_Rarely,528,8,Master,Technical Degree,Male,100,High,1,Human Resources,Single,7108,1,No,17,Excellent,0,2,Bad,5,4,1,4,2,0,0,0,5
Yes,Travel_Rarely,408,23,Below College,Life Sciences,Female,45,Medium,3,Sales Executive,Married,11162,1,No,13,Excellent,1,3,Bad,11,8,3,10,1,1,0,0,3
No,Travel_Frequently,593,9,Master,Medical,Female,88,High,3,Research Director,Single,13782,9,No,17,Excellent,0,3,Good,18,7,2,13,2,0,0,0,5
No,Travel_Rarely,647,4,Master,Marketing,Male,45,High,2,Sales Executive,Single,2253,7,No,13,Excellent,0,3,Best,6,4,1,5,2,0,0,0,4
No,Travel_Rarely,982,1,Master,Medical,Male,58,Medium,1,Laboratory Technician,Married,16340,6,No,12,Excellent,1,2,Better,8,0,1,7,2,0,1,0,6
No,Travel_Rarely,477,24,Bachelor,Medical,Male,49,High,1,Laboratory Technician,Single,6409,8,No,22,Outstanding,0,2,Better,4,3,1,2,0,1,0,0,7
Yes,Travel_Rarely,1485,12,Below College,Life Sciences,Female,79,High,1,Laboratory Technician,Married,22955,1,Yes,11,Excellent,0,4,Good,1,1,0,0,1,0,1,1,8
No,Travel_Rarely,1384,3,Master,Medical,Male,82,Very High,1,Laboratory Technician,Married,13421,1,No,22,Outstanding,1,2,Better,8,7,0,7,0,0,0,0,4
No,Travel_Rarely,852,10,Bachelor,Marketing,Male,72,Medium,2,Sales Executive,Married,2706,1,No,18,Excellent,1,3,Better,10,3,1,4,1,0,0,0,4
No,Travel_Frequently,902,26,College,Medical,Female,92,Medium,2,Research Scientist,Married,21203,3,Yes,13,Excellent,1,3,Bad,1,1,0,0,2,1,0,0,8
No,Travel_Rarely,819,2,Bachelor,Life Sciences,Male,44,Medium,3,Manufacturing Director,Divorced,19588,2,No,18,Excellent,1,2,Best,7,7,6,4,2,0,0,0,4
No,Travel_Frequently,669,1,Bachelor,Medical,Male,97,Medium,2,Healthcare Representative,Single,25755,1,No,20,Outstanding,0,3,Better,13,9,4,9,1,0,0,0,5
No,Travel_Frequently,636,4,Master,Other,Male,47,Medium,1,Laboratory Technician,Married,26537,1,No,13,Excellent,1,2,Best,2,2,2,2,2,0,1,1,7
Yes,Travel_Rarely,1372,9,Bachelor,Marketing,Female,85,Low,2,Sales Executive,Single,9489,8,No,13,Excellent,0,2,Good,4,3,1,3,2,0,0,0,3
No,Non-Travel,862,2,Below College,Life Sciences,Female,76,High,1,Sales Representative,Divorced,14947,1,No,12,Excellent,3,3,Better,1,0,0,0,1,0,1,1,4
No,Travel_Rarely,718,4,Master,Technical Degree,Female,92,High,5,Manager,Divorced,18575,4,No,13,Excellent,1,2,Better,5,2,4,2,4,0,0,0,6
No,Travel_Rarely,1401,6,Below College,Medical,Female,54,High,1,Laboratory Technician,Married,26342,1,No,13,Excellent,1,5,Better,10,8,0,8,1,0,1,0,4
No,Travel_Rarely,645,9,College,Life Sciences,Male,54,High,1,Research Scientist,Single,7172,1,No,25,Outstanding,0,4,Better,1,1,0,0,0,0,1,1,4
No,Travel_Rarely,1457,7,Bachelor,Medical,Female,83,High,1,Research Scientist,Married,20100,4,Yes,19,Excellent,1,2,Good,3,2,0,2,3,0,0,0,4
No,Travel_Rarely,977,1,Bachelor,Life Sciences,Female,56,Medium,2,Manufacturing Director,Married,9961,1,No,13,Excellent,1,2,Good,14,8,3,11,2,0,0,0,7
No,Travel_Rarely,805,3,Bachelor,Life Sciences,Male,87,Medium,1,Laboratory Technician,Single,12828,1,No,12,Excellent,0,2,Good,2,2,1,2,0,0,1,1,2
Yes,Travel_Rarely,1097,10,Master,Life Sciences,Male,96,High,1,Research Scientist,Single,10826,1,Yes,11,Excellent,0,4,Better,6,4,0,2,3,0,1,0,6
No,Travel_Rarely,1223,7,College,Medical,Female,50,High,5,Manager,Divorced,18640,3,No,18,Excellent,1,6,Better,7,7,4,7,4,0,0,0,6
No,Travel_Rarely,942,15,Below College,Life Sciences,Female,69,Low,1,Research Scientist,Married,26933,1,Yes,18,Excellent,1,2,Good,5,4,1,3,1,0,1,0,4
Yes,Travel_Frequently,1256,3,Master,Life Sciences,Male,48,Medium,1,Research Scientist,Married,4223,1,Yes,11,Excellent,1,5,Better,0,0,0,0,0,0,1,1,6
No,Non-Travel,111,17,Bachelor,Life Sciences,Male,74,Low,1,Research Scientist,Single,4279,2,No,13,Excellent,0,3,Better,0,0,0,0,3,0,1,0,8
No,Travel_Rarely,147,2,Bachelor,Human Resources,Male,99,High,1,Human Resources,Married,8429,1,No,13,Excellent,1,2,Better,5,4,1,4,1,0,0,0,6
Yes,Non-Travel,906,5,College,Life Sciences,Male,95,Medium,1,Research Scientist,Divorced,20293,6,No,17,Excellent,1,2,Bad,1,0,0,0,2,0,1,0,0
No,Travel_Rarely,1329,29,Master,Life Sciences,Male,61,High,2,Sales Executive,Divorced,13192,8,No,19,Excellent,3,3,Better,4,3,0,3,1,1,0,0,4
No,Travel_Frequently,1184,2,Master,Medical,Male,62,High,2,Sales Executive,Married,25440,5,No,12,Excellent,3,2,Better,0,0,0,0,2,0,0,0,5
No,Travel_Frequently,1421,2,Bachelor,Medical,Female,30,High,4,Manager,Married,9490,2,No,22,Outstanding,1,3,Better,2,2,2,2,3,0,0,0,5
No,Travel_Rarely,1179,19,Master,Medical,Male,78,Medium,1,Laboratory Technician,Married,12449,1,No,12,Excellent,3,2,Better,6,5,3,3,1,0,1,0,5
No,Travel_Rarely,1450,15,College,Life Sciences,Male,52,High,5,Research Director,Married,10849,5,No,11,Excellent,1,2,Better,4,2,0,3,3,0,0,0,4
No,Travel_Rarely,1361,17,Master,Life Sciences,Male,94,High,2,Sales Executive,Married,21026,3,Yes,15,Excellent,3,2,Better,7,7,1,7,2,0,0,0,5
Yes,Travel_Rarely,984,17,College,Life Sciences,Female,97,High,1,Laboratory Technician,Married,3372,1,No,13,Excellent,1,3,Bad,1,0,0,0,0,0,1,1,4
No,Travel_Frequently,1146,25,Bachelor,Medical,Female,82,High,2,Sales Executive,Married,4905,1,No,12,Excellent,1,3,Good,10,7,0,1,1,1,0,0,3
No,Travel_Rarely,917,6,Master,Life Sciences,Male,60,Low,1,Laboratory Technician,Divorced,6865,1,No,14,Excellent,1,4,Better,7,7,1,7,2,0,1,0,6
No,Travel_Rarely,853,7,Master,Life Sciences,Male,49,High,2,Laboratory Technician,Divorced,11309,1,No,13,Excellent,3,4,Good,10,7,8,9,1,0,0,0,4
No,Travel_Rarely,654,21,Bachelor,Marketing,Male,43,Very High,1,Sales Representative,Single,5050,1,No,17,Excellent,0,2,Better,2,1,2,2,0,0,1,1,8
No,Travel_Rarely,150,2,Master,Technical Degree,Male,60,High,2,Manufacturing Director,Divorced,17433,2,No,11,Excellent,1,3,Good,6,3,1,4,3,0,0,0,8
No,Non-Travel,179,2,Doctor,Medical,Male,79,Very High,2,Human Resources,Married,12858,7,No,16,Excellent,1,3,Best,4,3,0,3,2,0,0,0,3
No,Travel_Rarely,696,7,Master,Marketing,Male,52,Very High,2,Sales Executive,Divorced,10893,1,Yes,18,Excellent,1,3,Better,11,7,1,9,4,0,0,0,5
No,Travel_Frequently,116,13,Bachelor,Other,Female,77,Medium,1,Laboratory Technician,Married,7331,1,No,20,Outstanding,1,2,Better,2,2,2,2,1,0,1,1,5
No,Travel_Frequently,1316,2,College,Life Sciences,Female,38,High,2,Research Scientist,Single,2338,4,Yes,14,Excellent,0,2,Better,8,7,0,7,1,0,0,0,8
No,Travel_Rarely,363,1,Bachelor,Technical Degree,Female,77,Low,3,Manufacturing Director,Divorced,4235,2,Yes,21,Outstanding,1,2,Better,7,7,7,7,2,0,0,0,4
No,Travel_Rarely,117,9,Bachelor,Medical,Male,60,High,1,Research Scientist,Married,6311,1,No,13,Excellent,1,5,Better,14,10,4,10,1,0,1,0,4
No,Travel_Rarely,107,10,Bachelor,Technical Degree,Female,84,Medium,2,Sales Executive,Divorced,11591,7,No,12,Excellent,1,2,Best,5,1,1,3,2,0,0,0,3
No,Travel_Rarely,1356,10,Master,Life Sciences,Male,57,High,2,Sales Executive,Single,20623,1,No,14,Excellent,0,4,Better,4,3,1,1,0,0,0,0,6
No,Travel_Rarely,1465,1,Bachelor,Medical,Male,63,High,1,Research Scientist,Married,9369,1,Yes,21,Outstanding,1,2,Better,11,9,5,7,1,0,0,0,4
No,Travel_Frequently,458,26,Doctor,Medical,Female,60,High,3,Research Director,Married,23281,3,Yes,17,Excellent,0,6,Better,1,0,0,0,2,1,0,0,2
No,Non-Travel,1212,8,College,Marketing,Female,78,Medium,3,Sales Executive,Married,13755,4,Yes,11,Excellent,1,6,Good,13,2,4,12,2,0,0,0,6
No,Travel_Rarely,1103,14,Bachelor,Life Sciences,Male,42,High,1,Research Scientist,Married,14377,1,Yes,14,Excellent,2,3,Good,9,7,6,8,1,0,1,0,3
No,Travel_Frequently,966,1,Master,Life Sciences,Female,53,High,3,Manufacturing Director,Divorced,9659,7,No,17,Excellent,1,2,Bad,5,4,1,4,4,0,0,0,5
No,Travel_Rarely,1117,2,Below College,Life Sciences,Female,72,Very High,1,Research Scientist,Married,19982,1,No,13,Excellent,1,5,Better,10,5,7,7,3,0,1,0,6
Yes,Non-Travel,504,10,Bachelor,Medical,Female,96,Medium,1,Research Scientist,Single,6148,1,Yes,25,Outstanding,0,2,Best,1,1,0,0,0,0,1,1,2
No,Travel_Rarely,1010,1,Bachelor,Life Sciences,Female,97,High,1,Research Scientist,Divorced,5598,1,No,15,Excellent,3,5,Better,3,2,1,2,1,0,0,0,3
No,Travel_Rarely,685,3,Bachelor,Life Sciences,Male,85,High,4,Research Director,Married,23474,3,No,14,Excellent,0,2,Better,10,9,0,9,4,0,0,0,6
No,Travel_Rarely,1332,11,College,Medical,Male,80,High,2,Healthcare Representative,Married,17089,1,Yes,12,Excellent,0,2,Good,6,5,0,1,1,0,0,0,5
No,Travel_Rarely,1062,24,Bachelor,Medical,Female,96,Medium,2,Healthcare Representative,Single,17198,1,No,19,Excellent,0,2,Better,10,9,1,8,1,1,0,0,3
No,Travel_Rarely,326,3,Bachelor,Life Sciences,Female,48,Medium,2,Sales Executive,Single,16490,5,No,17,Excellent,0,2,Better,6,1,0,5,4,0,0,0,8
No,Travel_Rarely,920,3,Bachelor,Life Sciences,Male,96,Low,5,Research Director,Married,18625,3,No,14,Excellent,1,2,Better,8,7,0,7,2,0,0,0,6
No,Travel_Rarely,1098,4,College,Medical,Male,85,Medium,5,Manager,Married,12124,2,No,13,Excellent,1,2,Best,1,0,0,0,3,0,0,0,4
No,Travel_Frequently,469,3,Bachelor,Technical Degree,Male,46,High,1,Research Scientist,Married,9256,1,No,12,Excellent,0,2,Good,11,10,0,7,2,0,0,0,5
No,Travel_Rarely,969,2,College,Technical Degree,Male,76,Very High,1,Laboratory Technician,Single,16620,5,No,11,Excellent,0,4,Good,1,0,0,0,3,0,1,0,6
No,Travel_Rarely,1167,4,College,Life Sciences,Male,76,High,1,Research Scientist,Divorced,3208,1,No,11,Excellent,3,2,Better,5,3,0,3,1,0,1,0,3
No,Travel_Rarely,1329,7,Bachelor,Life Sciences,Male,82,High,2,Healthcare Representative,Divorced,4204,1,Yes,11,Excellent,2,2,Better,6,0,1,0,1,0,0,0,6
No,Travel_Rarely,715,1,Bachelor,Life Sciences,Male,76,Medium,5,Research Director,Single,8733,6,No,12,Excellent,0,3,Best,1,0,0,0,3,0,0,0,8
No,Travel_Rarely,694,1,Bachelor,Life Sciences,Female,87,Medium,4,Research Director,Divorced,3423,3,No,14,Excellent,2,2,Good,7,7,1,7,1,0,0,0,7
No,Travel_Rarely,1320,20,Bachelor,Technical Degree,Female,89,Very High,1,Research Scientist,Married,21643,1,No,17,Excellent,0,5,Good,1,0,0,0,1,0,1,1,7
No,Travel_Rarely,536,10,Doctor,Marketing,Male,82,Very High,3,Sales Executive,Divorced,21708,1,Yes,14,Excellent,2,3,Better,9,8,0,8,1,0,0,0,8
No,Travel_Rarely,265,25,Bachelor,Life Sciences,Female,57,Very High,1,Research Scientist,Single,21221,1,Yes,12,Excellent,0,2,Better,1,0,0,1,0,1,1,1,7
No,Travel_Rarely,373,1,College,Life Sciences,Male,47,High,1,Research Scientist,Married,16901,1,No,22,Outstanding,1,2,Better,1,0,0,1,0,0,1,1,8
Yes,Travel_Frequently,599,24,Below College,Life Sciences,Male,73,Low,1,Sales Representative,Single,8040,1,Yes,14,Excellent,0,4,Better,1,0,1,0,0,1,1,1,8
No,Travel_Rarely,583,4,College,Life Sciences,Male,53,High,1,Research Scientist,Single,9973,1,Yes,20,Outstanding,0,2,Good,8,5,2,2,0,0,1,0,6
